Unnamed: 0,T2M,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,real_index,beta,azimuth,DNI,DHI,poa_global_1,T_t,P_eta
2022-01-01 08:00:00+08:00,-9.93,80.62,0.1,82.07,63,40.0,124.33224461466665,237.18369770326316,47.89738834351715,160.4538725702927,-4.915816482178353,0.12777406050945492
2022-01-01 09:00:00+08:00,-7.42,228.07,0.1,74.09,63,40.0,135.122915193219,600.3649201615956,63.49372347951214,469.89499231203774,7.2642185097511796,0.3557618294189936
2022-01-01 10:00:00+08:00,-4.39,334.39,0.06,68.02,63,40.0,147.39576304773198,690.3783407924245,75.99317706071764,649.3788005182105,15.903087516194077,0.47358680197998004
2022-01-01 11:00:00+08:00,-1.88,425.64,0.08,64.43,63,40.0,161.2392048254353,847.3965285669912,59.89222588498342,834.9629809811602,24.212593155661256,0.586591093609313
2022-01-01 12:00:00+08:00,-0.67,430.2,0.05,63.75,63,40.0,176.25793132708338,825.4489890289005,65.11324779980885,851.9765700988481,25.954267815589002,0.593765694567244
2022-01-01 13:00:00+08:00,-0.46,411.34,0.08,66.07,63,40.0,191.54216483740333,796.3999828522706,88.30405301708771,837.0400403135252,25.69750125979766,0.5840480747454319
2022-01-01 14:00:00+08:00,-1.45,331.36,0.09,71.09,63,40.0,206.0471834828949,769.6544457933257,81.92843512585421,727.7868905028699,21.293340328214686,0.5181372831317218
2022-01-01 15:00:00+08:00,-3.19,195.08,0.1,78.28,63,40.0,219.1052524083786,605.8718604865046,72.0097965432303,480.3710308495124,11.821594714047263,0.3566440093002325
2022-01-01 16:00:00+08:00,-5.45,41.73,0.1,86.9,63,40.0,230.59172917247045,154.5568589371459,33.37174853002379,101.92328290666954,-2.264897409166577,0.08029444571828837
2022-01-01 17:00:00+08:00,-7.38,0.0,-999.0,-999.0,63,40.0,240.75791019122605,0.0,0.0,0.0,-7.38,0.0
2022-01-01 18:00:00+08:00,-8.6,0.0,-999.0,-999.0,63,40.0,250.0289077372878,0.0,0.0,0.0,-8.6,0.0
