osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,fclass_cn,type,coordinates,longitude,latitude,distance,available_distance,S_n_20,S_n_24,S_n_28,S_e_conservative,S_e_common,S_e_positive,P_e_conservative_20,P_e_common_20,P_e_positive_20,P_e_conservative_24,P_e_common_24,P_e_positive_24,P_e_conservative_28,P_e_common_28,P_e_positive_28
318441776,5111,motorway,大广高速公路,G45,F,0,0,F,F,高速公路,高架及快速路,"117.243184, 40.6616991, 117.2437557, 40.6583882, 117.2438492, 40.657448, 117.2441064, 40.6558691, 117.2444338, 40.6544676, 117.2448214, 40.653711",117.243184,40.6616991,900.4773656,900.4773656,37.26506402,31.05448718,26.61769278,900.4773656,1350.716048,1800.954731,0.024164117,0.036246175,0.048328234,0.028996691,0.043495036,0.057993382,0.033830031,0.050745046,0.067660062
318441784,5111,motorway,大广高速公路,G45,F,0,1,T,F,高速公路,高架及快速路,"117.2433531, 40.6617116, 117.2432373, 40.6627229, 117.2432116, 40.6632849, 117.2432281, 40.6640265, 117.2433444, 40.664629, 117.2435152, 40.6652062, 117.2437106, 40.6657473, 117.2440704, 40.6664997",117.2433531,40.6617116,542.1050478,0,37.26511066,31.05452605,26.6177261,0,0,0,0,0,0,0,0,0,0,0,0
318441785,5111,motorway,大广高速公路,G45,F,0,1,T,F,高速公路,高架及快速路,"117.2439304, 40.6665461, 117.243574, 40.6657987, 117.2433569, 40.6652895, 117.2431841, 40.6647089, 117.2430723, 40.6640641, 117.2430147, 40.6633718, 117.2430357, 40.6626961, 117.243184, 40.6616991",117.2439304,40.6665461,549.5937806,0,37.28315012,31.06955844,26.63061197,0,0,0,0,0,0,0,0,0,0,0,0
318441783,5111,motorway,大广高速公路,G45,F,0,0,F,F,高速公路,高架及快速路,"117.2440704, 40.6664997, 117.2444309, 40.6669928, 117.2452541, 40.6679009, 117.2462269, 40.6687637, 117.2472446, 40.6695015, 117.2479544, 40.6699291, 117.2490563, 40.6705009",117.2440704,40.6664997,619.5752679,619.5752679,37.28297698,31.06941417,26.6304883,619.5752679,929.3629018,1239.150536,0.016618181,0.024927272,0.033236362,0.019941646,0.029912469,0.039883293,0.023265637,0.034898455,0.046531274
203262137,5111,motorway,大广高速公路,G45,F,0,0,F,F,高速公路,高架及快速路,"117.2488268, 40.670764, 117.2472738, 40.6697762, 117.2462138, 40.6691095, 117.2452573, 40.6682468, 117.2443008, 40.6672859, 117.2439304, 40.6665461",117.2488268,40.670764,634.5390857,634.5390857,37.29888879,31.08267358,26.64185437,634.5390857,951.8086285,1269.078171,0.017012279,0.025518418,0.034024557,0.020414559,0.030621839,0.040829119,0.023817377,0.035726065,0.047634754
203262138,5111,motorway,大广高速公路,G45,F,0,-1,F,T,高速公路,高架及快速路,"117.2490563, 40.6705009, 117.2515249, 40.6717718, 117.2544434, 40.6731453, 117.2566998, 40.6742854, 117.26001694301655, 40.67580267069255",117.2490563,40.6705009,1098.191794,0,37.29790706,31.0818555,26.6411531,0,0,0,0,0,0,0,0,0,0,0,0
203262139,5111,motorway,大广高速公路,G45,F,0,-1,F,T,高速公路,高架及快速路,"117.25976747386866, 40.67600344057355, 117.2593636, 40.6758368, 117.2565194, 40.6745034, 117.2542197, 40.6733716, 117.2512714, 40.6720284, 117.2488268, 40.670764",117.2597675,40.67600344,1093.130194,0,37.31843924,31.0989651,26.65581957,0,0,0,0,0,0,0,0,0,0,0,0
