Unnamed: 0,T2M,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,real_index,beta,azimuth,DNI,DHI,poa_global_1,T_t,P_eta
2022-05-19 07:00:00+08:00,16.58,312.88,0.16,61.73,63,40.0,82.8270392565019,173.48861175545082,230.71108720940796,269.4975492776303,18.264359682985187,0.19449335265190973
2022-05-19 08:00:00+08:00,20.47,431.26,0.05,50.39,63,40.0,92.42232724371195,214.8277871104974,294.2947268911432,394.18679534545004,22.93366747090906,0.2785535143546035
2022-05-19 09:00:00+08:00,23.29,560.53,0.07,39.38,63,40.0,103.56409537594777,286.4413595958317,339.1236933540352,532.1601126727907,26.61600070420494,0.36974297187476396
2022-05-19 10:00:00+08:00,25.33,703.7,0.09,29.45,63,40.0,118.29335974714411,375.88841980412707,376.3819703726062,675.6565544573389,29.552853465358368,0.4630543359012999
2022-05-19 11:00:00+08:00,26.71,778.62,0.11,22.47,63,40.0,140.6603479910326,471.50367523873865,342.912988253932,757.2821250713403,31.443013281695876,0.5143865318466999
2022-05-19 12:00:00+08:00,26.79,857.21,0.13,21.66,63,40.0,174.9801745596701,601.3218836872593,298.34716767634484,866.8151470831601,32.20759466926975,0.5866531627667965
2022-05-19 13:00:00+08:00,25.62,801.72,0.12,27.59,63,40.0,211.6864345506631,546.7155728578665,317.1745022449151,831.5427798265993,30.817142373916248,0.5665041530550035
2022-05-19 14:00:00+08:00,24.04,652.62,0.12,37.07,63,40.0,236.94912264691828,414.551826942292,321.84923887560274,675.7908741696201,28.263692963560125,0.46595166389354703
2022-05-19 15:00:00+08:00,23.37,443.93,0.16,47.93,63,40.0,253.1671757454579,203.58688680290422,307.5190435479666,443.1635223133574,26.139772014458487,0.3085880262939418
2022-05-19 16:00:00+08:00,23.3,274.73,0.16,59.23,63,40.0,264.98798229003705,77.47220117987214,235.09576074581042,255.96341038059623,24.899771314878727,0.17925699596733569
2022-05-19 17:00:00+08:00,21.98,152.54,0.15,70.54,63,40.0,274.8602346513494,50.657131027148374,135.66364315747012,134.67883764839368,22.82174273530246,0.09521982215783337
2022-05-19 18:00:00+08:00,19.11,57.98,0.16,81.06,63,40.0,284.05021918811235,27.646581752276667,53.68371913207603,48.759752356724476,19.414748452229528,0.03500874690277528
2022-05-19 19:00:00+08:00,15.39,0.0,-999.0,-999.0,63,40.0,293.3435305689356,0.0,0.0,0.0,15.39,0.0
2022-05-19 20:00:00+08:00,14.2,0.0,-999.0,-999.0,63,40.0,303.34321198839126,0.0,0.0,0.0,14.2,0.0
2022-05-19 21:00:00+08:00,13.78,0.0,-999.0,-999.0,63,40.0,314.57375019303265,0.0,0.0,0.0,13.78,0.0
2022-05-19 22:00:00+08:00,13.64,0.0,-999.0,-999.0,63,40.0,327.44426532922336,0.0,0.0,0.0,13.64,0.0
2022-05-19 23:00:00+08:00,13.74,0.0,-999.0,-999.0,63,40.0,342.05409980698187,0.0,0.0,0.0,13.74,0.0
2022-05-20 00:00:00+08:00,13.4,0.0,-999.0,-999.0,63,40.0,357.9155528048705,0.0,0.0,0.0,13.4,0.0
2022-05-20 01:00:00+08:00,12.71,0.0,-999.0,-999.0,63,40.0,13.935484215351494,0.0,0.0,0.0,12.71,0.0
2022-05-20 02:00:00+08:00,11.7,0.0,-999.0,-999.0,63,40.0,28.932242951459784,0.0,0.0,0.0,11.7,0.0
2022-05-20 03:00:00+08:00,10.24,0.0,-999.0,-999.0,63,40.0,42.24629423213753,0.0,0.0,0.0,10.24,0.0
2022-05-20 04:00:00+08:00,9.33,0.0,-999.0,-999.0,63,40.0,53.85223404599276,0.0,0.0,0.0,9.33,0.0
2022-05-20 05:00:00+08:00,10.38,56.56,0.16,83.75,63,40.0,64.10472978429601,97.7344097730417,45.919960242507656,42.15990470051792,10.643499404378238,0.031460898494523326
2022-05-20 06:00:00+08:00,13.84,227.45,0.13,72.89,63,40.0,73.50707729594376,534.1105976883279,70.31084962324721,95.14538960125573,14.434658685007848,0.06983865684138525
2022-05-20 07:00:00+08:00,17.99,423.02,0.13,61.62,63,40.0,82.63591129857849,715.7879895368005,82.79371083075603,295.3267953038352,19.83579247064897,0.21163967164165015
2022-05-20 08:00:00+08:00,23.15,610.75,0.13,50.27,63,40.0,92.20855878209142,801.0208250507692,98.76104937248374,517.7457202111212,26.385910751319507,0.36011149520829416
2022-05-20 09:00:00+08:00,26.18,766.31,0.14,39.25,63,40.0,103.31888783275662,833.6590882649864,120.73053437533304,708.8746452344986,30.610466532715616,0.48340593340115723
2022-05-20 10:00:00+08:00,28.29,878.81,0.14,29.3,63,40.0,118.01229074569562,828.3471447754599,156.43390813444012,844.4684244924744,33.567927653077966,0.567830088285052
2022-05-20 11:00:00+08:00,29.8,935.28,0.15,22.27,63,40.0,140.38544756309773,823.3614764071739,173.33447696701717,920.2917936715802,35.55182371044738,0.6129356187739456
2022-05-20 12:00:00+08:00,30.83,941.16,0.16,21.45,63,40.0,174.9054496093272,821.58530875047,176.4801164331475,964.4550648875373,36.857844155547106,0.6382934731299004
2022-05-20 13:00:00+08:00,31.47,888.02,0.15,27.41,63,40.0,211.88114798491912,798.506986977994,179.15735871213553,936.8501756038564,37.3253135975241,0.6186138724122535
2022-05-20 14:00:00+08:00,31.62,778.93,0.15,36.92,63,40.0,237.20245453353786,779.0624640439546,156.08901819188907,816.9562763479889,36.72597672717493,0.5410230483304774
2022-05-20 15:00:00+08:00,31.29,644.16,0.15,47.8,63,40.0,253.39777254985023,793.7200951982876,111.00186989590622,646.5418445552716,35.330886528470444,0.43107178279762276
2022-05-20 16:00:00+08:00,30.4,477.68,0.15,59.1,63,40.0,265.18949075174714,791.3544292796912,71.2868555659287,429.5199070474346,33.084499419046466,0.28948263485964393
2022-05-20 17:00:00+08:00,28.67,281.34,0.15,70.41,63,40.0,275.0387261129483,676.0076366229393,54.683329789624,194.4294423948614,29.885184014967887,0.13304217767143767
2022-05-20 18:00:00+08:00,23.91,103.2,0.17,80.87,63,40.0,284.2113035303027,201.613162793661,71.20902046404088,66.24935513657881,24.324058469603617,0.04651874241901128
2022-05-20 19:00:00+08:00,18.7,0.0,-999.0,-999.0,63,40.0,293.49026609018244,0.0,0.0,0.0,18.7,0.0
2022-05-20 20:00:00+08:00,17.23,0.0,-999.0,-999.0,63,40.0,303.47543229107146,0.0,0.0,0.0,17.23,0.0
2022-05-20 21:00:00+08:00,15.65,0.0,-999.0,-999.0,63,40.0,314.68714163727157,0.0,0.0,0.0,15.65,0.0
2022-05-20 22:00:00+08:00,14.51,0.0,-999.0,-999.0,63,40.0,327.5295129452409,0.0,0.0,0.0,14.51,0.0
2022-05-20 23:00:00+08:00,14.15,0.0,-999.0,-999.0,63,40.0,342.0981449320125,0.0,0.0,0.0,14.15,0.0
2022-05-21 00:00:00+08:00,14.01,0.0,-999.0,-999.0,63,40.0,357.907642010445,0.0,0.0,0.0,14.01,0.0
2022-05-21 01:00:00+08:00,14.05,0.0,-999.0,-999.0,63,40.0,13.875275850842286,0.0,0.0,0.0,14.05,0.0
2022-05-21 02:00:00+08:00,14.12,0.0,-999.0,-999.0,63,40.0,28.830485795011896,0.0,0.0,0.0,14.12,0.0
2022-05-21 03:00:00+08:00,13.63,0.0,-999.0,-999.0,63,40.0,42.11691744663494,0.0,0.0,0.0,13.63,0.0
2022-05-21 04:00:00+08:00,12.45,0.0,-999.0,-999.0,63,40.0,53.7054235150182,0.0,0.0,0.0,12.45,0.0
2022-05-21 05:00:00+08:00,12.08,64.9,0.16,83.61,63,40.0,63.9452105934937,150.9457262601996,48.10042214379142,44.454325725839084,12.357839535786495,0.03292766388376476
